	25C	27C	29C	31C	33C	35C	37C	39C	41C	43C	45C
355	0.198975	0.19104000000000002	0.188904	0.18981900000000002	0.188599	0.18676800000000002	0.189209	0.18829300000000002	0.18951400000000002	0.188904	0.196838
356	0.192261	0.184631	0.1828	0.18219000000000002	0.18096900000000002	0.18066400000000002	0.1828	0.179749	0.18096900000000002	0.18158	0.19043
357	0.185547	0.179749	0.177002	0.175781	0.176086	0.175171	0.17639200000000002	0.172424	0.175476	0.175171	0.18371600000000002
358	0.18096900000000002	0.176697	0.172729	0.172119	0.171204	0.17181400000000002	0.169373	0.17028800000000002	0.170898	0.167542	0.18066400000000002
359	0.179749	0.17181400000000002	0.171509	0.170593	0.168457	0.168457	0.167542	0.166016	0.166626	0.16449	0.174561
360	0.184631	0.178223	0.176697	0.175171	0.173645	0.172424	0.17028800000000002	0.169373	0.169067	0.168457	0.176086
361	0.19805899999999999	0.190735	0.187683	0.1828	0.18249500000000002	0.18066400000000002	0.17913800000000002	0.177002	0.176086	0.174255	0.183105
362	0.215759	0.205688	0.202026	0.19805899999999999	0.19622799999999999	0.191956	0.19165	0.18829300000000002	0.188904	0.184631	0.19439700000000001
363	0.23406999999999997	0.224915	0.22033699999999998	0.216675	0.21026599999999998	0.20874	0.20538299999999998	0.202026	0.200195	0.198364	0.204773
364	0.253906	0.23864699999999997	0.233154	0.22888200000000003	0.22583000000000003	0.221558	0.21820100000000003	0.21423299999999998	0.211792	0.20751999999999998	0.21453899999999998
365	0.261536	0.247498	0.24231	0.238342	0.232544	0.22796599999999997	0.22277800000000003	0.21911599999999998	0.215759	0.213013	0.21911599999999998
366	0.264282	0.250854	0.24475100000000002	0.239563	0.232544	0.229492	0.224609	0.220032	0.21759	0.21453899999999998	0.22094699999999998
367	0.27069099999999996	0.255127	0.250244	0.244446	0.238342	0.232239	0.22796599999999997	0.223083	0.219727	0.21453899999999998	0.22216799999999998
368	0.314636	0.29693600000000003	0.28686500000000004	0.281677	0.270996	0.264282	0.258179	0.251465	0.247192	0.241089	0.24658200000000002
369	0.467224	0.44677700000000004	0.427246	0.41107200000000005	0.395813	0.380859	0.367126	0.35553	0.346985	0.334778	0.337524
370	0.723877	0.690613	0.664978	0.6304930000000001	0.606079	0.581665	0.555725	0.536804	0.513916	0.492859	0.496521
371	1.0675	0.9963989999999999	0.951843	0.906372	0.866699	0.822449	0.783691	0.7543949999999999	0.723572	0.690002	0.6872560000000001
372	1.3067600000000001	1.2207	1.1569200000000002	1.09833	1.0485799999999998	0.996704	0.94696	0.91156	0.8773799999999999	0.8316040000000001	0.8349610000000001
373	1.34857	1.25366	1.18622	1.13037	1.08063	1.03027	0.975037	0.9393309999999999	0.9033200000000001	0.856934	0.863037
374	1.22589	1.1261	1.0684200000000001	1.01776	0.9716799999999999	0.929565	0.8880620000000001	0.8547969999999999	0.823975	0.7849119999999999	0.795288
375	1.01776	0.941162	0.8975219999999999	0.8581540000000001	0.8212280000000001	0.786133	0.751953	0.726013	0.700073	0.673523	0.682068
376	0.9182739999999999	0.8547969999999999	0.8200069999999999	0.78186	0.749512	0.717773	0.688477	0.667419	0.647278	0.6213380000000001	0.6271359999999999
377	0.910034	0.85083	0.818481	0.782471	0.749207	0.722961	0.690308	0.666504	0.649414	0.6195069999999999	0.626831
378	0.953369	0.897217	0.8566280000000001	0.8227540000000001	0.7867430000000001	0.758362	0.7223510000000001	0.701599	0.675964	0.649109	0.6558229999999999
379	0.995483	0.932617	0.888367	0.847168	0.818481	0.779419	0.751343	0.723572	0.698242	0.670471	0.680237
380	1.03516	0.969543	0.920715	0.8786010000000001	0.8444209999999999	0.812683	0.778503	0.746155	0.7299800000000001	0.697021	0.704651
381	1.11115	1.04462	0.997009	0.954895	0.918884	0.87616	0.8374020000000001	0.8120729999999999	0.788879	0.753479	0.757141
382	1.23627	1.15784	1.10626	1.0626200000000001	1.01776	0.9732059999999999	0.929565	0.8987430000000001	0.8734129999999999	0.837708	0.844116
383	1.34125	1.25702	1.2014799999999999	1.14594	1.1071799999999998	1.06018	1.00769	0.9756469999999999	0.9436040000000001	0.908508	0.9170530000000001
384	1.37726	1.2841799999999999	1.22528	1.17096	1.12305	1.08398	1.03271	1.00128	0.970459	0.9313959999999999	0.9442139999999999
385	1.33179	1.23688	1.18164	1.13129	1.09253	1.0495	1.0083	0.978699	0.950317	0.9161379999999999	0.926514
386	1.2674	1.19415	1.14136	1.09955	1.05865	1.0202	0.984192	0.9567260000000001	0.92865	0.899658	0.91217
387	1.26709	1.1911	1.14319	1.09131	1.0623200000000002	1.02203	0.987244	0.9558110000000001	0.9283450000000001	0.901184	0.917358
388	1.31104	1.22986	1.17554	1.12732	1.08795	1.04736	1.01349	0.9820559999999999	0.954285	0.9234620000000001	0.941162
389	1.3607799999999999	1.27106	1.21918	1.17035	1.1300700000000001	1.08276	1.05103	1.0144	0.987244	0.959778	0.970764
390	1.41724	1.32172	1.27167	1.2106299999999999	1.17462	1.12122	1.08612	1.0498	1.01593	0.985107	0.9985350000000001
391	1.47644	1.38519	1.31805	1.26526	1.2188700000000001	1.17462	1.1315899999999999	1.08856	1.05621	1.01746	1.03516
392	1.54755	1.44928	1.37848	1.31866	1.26587	1.21674	1.17004	1.12915	1.08978	1.0549899999999999	1.06598
393	1.5853899999999999	1.47858	1.40961	1.34552	1.28906	1.23474	1.18591	1.14319	1.10779	1.07056	1.07513
394	1.54694	1.4407299999999998	1.3717700000000002	1.31348	1.26099	1.20697	1.15936	1.11847	1.08276	1.04401	1.0485799999999998
395	1.45325	1.34735	1.28326	1.2301600000000001	1.1853	1.12732	1.08795	1.04797	1.01776	0.977173	0.985107
396	1.3208	1.22375	1.1673	1.1166399999999999	1.07544	1.03241	0.990906	0.957642	0.9268190000000001	0.8950809999999999	0.9057620000000001
397	1.1853	1.09894	1.0528600000000001	1.00464	0.9661870000000001	0.9277340000000001	0.8911129999999999	0.8627319999999999	0.8374020000000001	0.809937	0.8236690000000001
398	1.0849	1.00983	0.961304	0.9191889999999999	0.887756	0.8511350000000001	0.8193969999999999	0.796509	0.770569	0.739746	0.754089
399	0.999451	0.9371950000000001	0.887451	0.854187	0.818787	0.7894899999999999	0.762634	0.73761	0.715332	0.6912229999999999	0.704651
400	0.9609989999999999	0.888367	0.852356	0.8206180000000001	0.787048	0.758362	0.730896	0.7064819999999999	0.68634	0.665588	0.672607
401	0.9210209999999999	0.860291	0.819702	0.790405	0.756836	0.725403	0.6994630000000001	0.677185	0.659485	0.635681	0.641479
402	0.89386	0.8364870000000001	0.79895	0.760803	0.731201	0.709229	0.6796260000000001	0.659485	0.638123	0.614624	0.622559
403	0.866394	0.802307	0.773315	0.737305	0.714417	0.6860350000000001	0.661621	0.639343	0.620117	0.600891	0.606995
404	0.838623	0.788879	0.752563	0.721436	0.691833	0.6698609999999999	0.646667	0.622253	0.605164	0.584412	0.595093
405	0.820313	0.760193	0.731201	0.6997680000000001	0.67688	0.648193	0.623779	0.606689	0.586853	0.570679	0.58075
406	0.79071	0.737915	0.707092	0.6796260000000001	0.654602	0.629578	0.6076050000000001	0.589294	0.576477	0.554504	0.563049
407	0.752869	0.700684	0.673218	0.646667	0.625	0.59845	0.583191	0.5642699999999999	0.547485	0.5358890000000001	0.543823
408	0.72937	0.677185	0.652161	0.626221	0.603333	0.58136	0.566711	0.545654	0.532837	0.519104	0.52887
409	0.700684	0.6500239999999999	0.6286619999999999	0.598755	0.58197	0.560913	0.5447390000000001	0.528564	0.513916	0.500793	0.505981
410	0.6838989999999999	0.6369020000000001	0.612488	0.5856319999999999	0.564575	0.54657	0.533752	0.514221	0.503235	0.48858599999999996	0.495911
411	0.665894	0.623474	0.5993649999999999	0.574646	0.553894	0.536804	0.517883	0.498352	0.48950200000000005	0.47576899999999994	0.485229
412	0.657043	0.610657	0.587158	0.5584720000000001	0.542603	0.5233760000000001	0.507202	0.48858599999999996	0.47363299999999997	0.462341	0.475159
413	0.6420899999999999	0.59845	0.570984	0.553284	0.52887	0.509338	0.49346899999999994	0.4776	0.467529	0.451355	0.460815
